"Question","Answer 1","Answer 2","Answer 3","Answer 4","Time limit","Correct answer(s)"
"MarkdownOffice được định vị là gì?","Markdown editor mới thay thế Notion","AI-native/LLM-first Document OS cho enterprise monorepo","Plugin cho Microsoft Word","Dịch vụ lưu trữ file đám mây","30","2"
"Vấn đề cốt lõi của tài liệu doanh nghiệp hiện nay là gì?","Doanh nghiệp thiếu tài liệu","Tài liệu quá đẹp, khó chỉnh","Tri thức phân mảnh, không có canonical source of truth","Không đủ dung lượng lưu trữ","30","3"
"Vì sao AI Agent khó vận hành với Office/Docs truyền thống?","Vì model ngôn ngữ quá yếu","Tài liệu tối ưu cho mắt người, thiếu cấu trúc/version/permission","Vì thiếu kết nối internet","Vì Agent không đọc được tiếng Việt","30","2"
"Cái giá phải trả khi mất context KHÔNG bao gồm điều nào?","Onboarding chậm","Handover rủi ro cao","Quyết định dựa trên dữ liệu lỗi thời","Chi phí cloud tăng gấp đôi","30","4"
"Source of truth của MarkdownOffice là gì?","File binary .docx","Markdown-native/text-based, diff-parse-validate được","File PDF đã khóa","Ảnh chụp màn hình tài liệu","30","2"
"LLM-first trong MarkdownOffice nghĩa là gì?","LLM thay thế con người hoàn toàn","Chỉ được dùng đúng một model LLM","AI Agent là first-class actor trong hệ thống","Không cần con người phê duyệt","30","3"
"Đâu KHÔNG phải lợi thế của Markdown-native?","Human-readable và machine-readable","Diff-friendly, version control tự nhiên","Bị khóa chặt vào một vendor duy nhất","Extensible: frontmatter, block ID, schema","30","3"
"Trong MarkdownOffice, một tài liệu được xem là gì?","Một file cô lập","Một node trong document graph (structured data)","Một email đính kèm","Một dòng lệnh","30","2"
"MarkdownDoc tương ứng với sản phẩm truyền thống nào?","Excel / Google Sheets","PowerPoint / Google Slides","Word / Google Docs","Outlook / Gmail","30","3"
"MVP của MarkdownSheet nên bắt đầu từ đâu?","Game engine","Workflow data: status tracking, ownership matrix, risk scoring","Công cụ dựng video","Kết xuất đồ họa 3D","30","2"
"Điểm mạnh đặc biệt của MarkdownSlide là gì?","Chỉ hỗ trợ hiệu ứng hoạt hình","Generate từ report+sheet+graph, có source ref & stale detection","Hoạt động không cần dữ liệu","Chỉ xuất bản in giấy","30","2"
"MarkdownJira khác Jira truyền thống ở điểm nào?","Task nằm cùng knowledge layer có version, liên kết document graph","Không có khái niệm task","Chỉ chạy được offline","Không cho phép bình luận","30","1"
"MarkdownWorkflow là lớp gì trong hệ sinh thái?","Lớp giao diện người dùng","Automation layer cho quy trình lặp lại (handover, onboarding)","Lớp lưu trữ hình ảnh","Lớp cổng thanh toán","30","2"
"MarkdownAgent hoạt động theo mô hình nào?","Như chatbot bên ngoài tài liệu","Tự commit mọi thay đổi ngay lập tức","Theo transaction: read-generate-validate-propose-review-commit","Chỉ đọc, không bao giờ tạo nội dung","30","3"
"Cortexpod tương ứng với gì trong thế giới hiện tại?","Git","GitHub - hub tập trung cho document + Agent","Google Drive","Slack","30","2"
"Lob tương ứng với gì?","GitHub","Git-like version layer cho structured documents","Một trình duyệt web","Một CSS framework","30","2"
"Agent Proposal tương ứng với khái niệm nào của Git/GitHub?","Commit","Branch","Pull Request","Clone","30","3"
"Vì sao Lob không chỉ dùng line-diff như Git?","Vì Git quá nhanh","Vì tài liệu cần block/AST/semantic diff và policy-based merge","Vì line-diff tốn phí bản quyền","Vì không ai còn dùng Git","30","2"
"Một Lob transaction ghi lại những gì?","Chỉ đoạn text mới thêm","Chỉ tên file bị đổi","actor, intent, source, validation, approval, rollback pointer","Chỉ mốc thời gian","30","3"
"Use case demo xuyên suốt trong deck là gì?","Tính lương nhân viên","Employee Handover - chuyển giao khi nhân sự rời đi","Gửi email marketing hàng loạt","Thiết kế logo thương hiệu","30","2"
"Ở bước scan tri thức, Agent hoạt động thế nào?","Đọc tất cả mọi thứ, không giới hạn","Scan theo permission, scope, policy (permission-aware)","Chỉ đọc các file công khai","Không đọc gì, chờ nhập tay","30","2"
"Sau khi proposal được phê duyệt, điều gì xảy ra?","Toàn bộ tài liệu bị xóa","Commit vào Lob, refresh graph/dashboard, export/share","Gửi bản sao cho đối thủ","Không có hành động nào","30","2"
"Harness Engineering được ví với LLM như thế nào?","LLM là toàn bộ máy tính","LLM là CPU, harness là phần còn lại (memory, I/O, permission)","Harness chỉ là màn hình hiển thị","Harness là thứ không cần thiết","30","2"
"Độ tin cậy (reliability) của agent đến từ đâu?","Từ một prompt thật dài","Từ việc liên tục đổi model mới hơn","Từ system design (harness), không chỉ từ model","Từ may mắn","30","3"
"Primitive đầu tiên khi lắp ráp một agent là gì?","Verification và Observability","Reasoning Engine (model trần: prompt-model-text)","Subagents","Orchestration","30","2"
"Lỗi Agent xóa nhầm thư mục được khắc phục bằng primitive nào?","Instructions","Context Management","Execution Environment (isolate worktree, bound permissions)","Durable State","30","3"
"Working memory tương ứng với gì trong AI Agent?","Vector database","Context hiện tại (context window, scratchpad, task state)","Event log theo timeline","Kho lưu skill","30","2"
"Mô tả Agent đã trải qua chuyện gì ứng với loại memory nào?","Working memory","Episodic memory","Semantic memory","Procedural memory","30","2"
"Procedural memory lưu giữ điều gì?","Task đang xử lý ngay lúc này","Tri thức, facts, concepts về thế giới","Cách làm việc - skills, workflows, playbooks","Nhật ký lỗi hệ thống","30","3"
"Trong consolidation của agent memory, điều gì đúng?","Mọi memory gộp vào một vector DB duy nhất","Episodic lặp lại thành Semantic; hành động lặp lại thành Procedural","Working memory tồn tại vĩnh viễn","Semantic memory bị xóa sau mỗi phiên chat","30","2"
